code,name
CIT 020,Computing and mathematics
CIT027,Computing
FAMC,"Faculty of Arts, Media & Communication"
FAS,Faculty of Applied Sciences
FBE,Faculty of Business & Economics
FCCD,Faculty of Communication & Creative Digital Media
FCIT,Faculty of Computing & Information Technology
FELS,Faculty of Environmental & Life Sciences
SBE,School of Business and Economics
SCCD,School of Co-operative and Community Development
SESD,School of Environment and Sustainable Development
SOC,School of Computing and Mathematics
